name,state,region,inst_type,control,for_profit,adm_rate,undergrads,mdn_debt,mdn_earn
Abilene Christian University,TX,Southwest,Four-year undergraduate,Private,No,0.634,3480,24000,49294
Abraham Baldwin Agricultural College,GA,Southeast,Four-year undergraduate,Public,No,0.7599,3546,17500,32130
AdventHealth University,FL,Southeast,Four-year undergraduate,Private,No,0.9087,1129,25034,58788
Andrews University,MI,Great Lakes,Four-year undergraduate,Private,No,0.4878,1381,26076,51909
Arizona Christian University,AZ,Southwest,Four-year undergraduate,Private,No,0.7147,883,21500,37531
Art Center College of Design,CA,Far West,Four-year undergraduate,Private,No,0.7609,1907,31218,66407
Augsburg University,MN,Plains,Four-year undergraduate,Private,No,0.7312,2487,25000,53472
Ave Maria University,FL,Southeast,Four-year undergraduate,Private,No,0.9179,1048,21500,45789
Ball State University,IN,Great Lakes,Four-year undergraduate,Public,No,0.8705,15171,23250,45934
Baptist Health College Little Rock,AR,Southeast,Two-year undergraduate,Private,No,0.5,661,10000,54924
Bard College,NY,Mid East,Four-year undergraduate,Private,No,0.5695,1932,25910,43441
Bates College,ME,New England,Four-year undergraduate,Private,No,0.141,1876,13978,64706
Baylor University,TX,Southwest,Four-year undergraduate,Private,No,0.6847,14329,23550,60512
Beacon College,FL,Southeast,Four-year undergraduate,Private,No,0.4461,426,25718,22833
Belanger School of Nursing,NY,Mid East,Two-year undergraduate,Private,No,0.4,143,15250,67700
Belmont University,TN,Southeast,Four-year undergraduate,Private,No,0.8323,6618,20709,49950
Binghamton University,NY,Mid East,Four-year undergraduate,Public,No,0.4303,14300,18750,72980
Biola University,CA,Far West,Four-year undergraduate,Private,No,0.6438,3683,24273,47704
Bloomfield College,NJ,Mid East,Four-year undergraduate,Private,No,0.8465,1530,27000,44790
Bluffton University,OH,Great Lakes,Four-year undergraduate,Private,No,0.6051,675,27000,44911
Brandeis University,MA,New England,Four-year undergraduate,Private,No,0.334,3481,25797,70327
Cabrini University,PA,Mid East,Four-year undergraduate,Private,No,0.6167,1463,27000,53142
Cairn University-Langhorne,PA,Mid East,Four-year undergraduate,Private,No,0.8145,885,27000,41013
California State University-Chico,CA,Far West,Four-year undergraduate,Public,No,0.9017,15689,16931,56270
California State University-Monterey Bay,CA,Far West,Four-year undergraduate,Public,No,0.8562,6456,13750,53190
