country,region,population,area,gdp,life_expect,birth_rate,fertility_rate,death_rate,infant_mortality
Afghanistan,South Asia,38041754,652860,507.1034319,64.833,31.802,61.325,6.285,46.5
Albania,Europe & Central Asia,2854191,28750,5353.244856,78.573,11.62,19.5028,8.082,8.6
Algeria,Middle East & North Africa,43053054,2381741,3973.964072,76.88,23.583,9.5966,4.716,20
Angola,Sub-Saharan Africa,31825295,1246700,2790.726615,61.147,40.232,145.39,7.981,50.2
Antigua and Barbuda,Latin America & Caribbean,97118,440,17112.82113,77.016,15.107,40.88,6.422,5.8
Argentina,Latin America & Caribbean,44938712,2780400,9912.281809,76.667,16.833,62.3488,7.604,8.2
Armenia,Europe & Central Asia,2957731,29740,4622.733493,75.087,13.646,20.282,9.835,10.5
Aruba,Latin America & Caribbean,106314,180,,76.293,11.756,19.6732,9.205,
Australia,East Asia & Pacific,25365745,7741220,55057.2047,82.9,12.1,10.9366,6.7,3.1
Austria,Europe & Central Asia,8879920,83879,50121.55421,81.79268293,9.6,6.7488,9.4,2.8
Azerbaijan,Europe & Central Asia,10024283,86600,4793.125559,73.005,14.1,57.1572,5.6,18.2
"Bahamas, The",Latin America & Caribbean,389482,13880,34863.7421,73.918,13.882,28.4498,6.841,10.9
Bahrain,Middle East & North Africa,1641172,780,23503.97713,77.292,13.622,13.11,2.408,5.9
Bangladesh,South Asia,163046161,147570,1855.739824,72.591,17.868,81.6636,5.526,25.6
Barbados,Latin America & Caribbean,287025,430,18148.24493,79.19,10.621,28.7104,9.068,11.7
Belarus,Europe & Central Asia,9417849,207600,6697.968615,74.22682927,9.3,12.9962,12.8,2.4
Belgium,Europe & Central Asia,11502704,30530,46345.40329,81.74634146,10.1,4.4898,9.5,2.7
Belize,Latin America & Caribbean,390353,22970,4815.163711,74.623,20.51,67.611,4.756,10.6
Benin,Sub-Saharan Africa,11801151,114760,1219.432672,61.771,35.831,81.9768,8.718,59
Bermuda,North America,64027,4290,116889.9527,81.86658537,8.3,,8.4,
Bhutan,South Asia,763092,38390,3316.175714,71.777,17.012,17.606,6.251,23.8
Bolivia,Latin America & Caribbean,11513100,1098580,3552.06876,71.513,21.455,62.9084,6.762,21.2
Bosnia and Herzegovina,Europe & Central Asia,3301000,51210,6108.510696,77.401,7.938,8.656,10.877,5.1
Botswana,Sub-Saharan Africa,2303697,581730,7961.325181,69.592,24.234,44.655,5.708,32.3
Brazil,Latin America & Caribbean,211049527,8515770,8717.186278,75.881,13.703,56.6606,6.531,12.4
Brunei Darussalam,East Asia & Pacific,433285,5770,31086.75112,75.86,14.459,9.1512,4.548,9.6
Bulgaria,Europe & Central Asia,6975761,111000,9828.148515,74.91463415,8.8,38.7932,15.5,5.6
Burkina Faso,Sub-Saharan Africa,20321378,274220,786.8956313,61.577,37.453,99.8026,7.914,53.9
Burundi,Sub-Saharan Africa,11530580,27830,261.2474725,61.584,38.377,53.9132,7.766,39.9
Cabo Verde,Sub-Saharan Africa,549935,4030,3603.781793,72.981,19.061,71.6302,5.576,12.8
Cambodia,East Asia & Pacific,16486542,181040,1643.121389,69.823,22.02,51.2638,5.992,22.8
Cameroon,Sub-Saharan Africa,25876380,475440,1507.450206,59.292,34.891,101.1876,9.059,50.2
Canada,North America,37593384,9879750,46189.66011,82.04878049,9.9,7.6822,7.6,4.2
Central African Republic,Sub-Saharan Africa,4745185,622980,467.9074406,53.283,35.09,124.8532,11.974,81
Chad,Sub-Saharan Africa,15946876,1284000,709.5403101,54.239,41.665,154.7388,11.907,69.1
Channel Islands,Europe & Central Asia,172259,198,,83.086,9.811,6.4132,7.824,
Chile,Latin America & Caribbean,18952038,756700,14896.45387,80.181,12.187,39.2248,6.254,6
China,East Asia & Pacific,1397715000,9600012.9,10216.63033,76.912,10.5,7.651,7.1,6.8
Colombia,Latin America & Caribbean,50339443,1141750,6428.676206,77.287,14.655,64.313,5.63,11.8
Comoros,Sub-Saharan Africa,850886,1861,1370.148207,64.321,31.407,62.7702,7.135,48.3
"Congo, Dem. Rep.",Sub-Saharan Africa,86790567,2344860,580.7168672,60.681,40.639,120.9912,9.292,66.1
"Congo, Rep.",Sub-Saharan Africa,5380508,342000,2279.969131,64.57,32.397,109.6422,6.612,34.9
Costa Rica,Latin America & Caribbean,5047561,51100,12243.81143,80.279,13.689,51.5772,5.152,7.5
Cote d'Ivoire,Sub-Saharan Africa,25716544,322460,2276.333279,57.783,35.464,114.6898,9.869,58.6
Croatia,Europe & Central Asia,4065253,88070,14944.35622,78.42439024,8.9,7.8494,12.7,4.1
Cuba,Latin America & Caribbean,11333483,109880,,78.802,9.962,51.4392,9.146,3.8
Cyprus,Europe & Central Asia,1198575,9250,27858.371,80.982,10.24,4.3352,7.099,1.8
Czech Republic,Europe & Central Asia,10671870,78870,23489.83866,79.12926829,10.5,11.8908,10.5,2.5
