id,group,cooperate
1,Control,Yes
2,Control,Yes
3,Control,Yes
4,Control,Yes
5,Control,Yes
6,Control,Yes
7,Control,Yes
8,Control,Yes
9,Control,Yes
10,Control,Yes
11,Control,Yes
12,Control,Yes
13,Control,Yes
14,Control,Yes
15,Control,Yes
16,Control,Yes
17,Control,Yes
18,Control,Yes
19,Control,Yes
20,Control,Yes
21,Control,Yes
22,Control,Yes
23,Control,Yes
24,Control,Yes
25,Control,Yes
26,Control,Yes
27,Control,Yes
28,Control,Yes
29,Control,Yes
30,Control,Yes
31,Control,Yes
32,Control,Yes
33,Control,Yes
34,Control,Yes
35,Control,Yes
36,Control,Yes
37,Control,Yes
38,Control,Yes
39,Control,Yes
40,Control,Yes
41,Control,Yes
42,Control,Yes
43,Control,Yes
44,Control,Yes
45,Control,Yes
46,Control,Yes
47,Control,Yes
48,Control,Yes
49,Control,Yes
50,Control,Yes
51,Control,Yes
52,Control,Yes
53,Control,Yes
54,Control,Yes
55,Control,Yes
56,Control,Yes
57,Control,Yes
58,Control,Yes
59,Control,Yes
60,Control,Yes
61,Control,Yes
62,Control,Yes
63,Control,Yes
64,Control,Yes
65,Control,Yes
66,Control,Yes
67,Control,Yes
68,Control,Yes
69,Control,Yes
70,Control,Yes
71,Control,Yes
72,Control,Yes
73,Control,Yes
74,Control,Yes
75,Control,Yes
76,Control,Yes
77,Control,Yes
78,Control,Yes
79,Control,Yes
80,Control,Yes
81,Control,Yes
82,Control,Yes
83,Control,Yes
84,Control,Yes
85,Control,Yes
86,Control,Yes
87,Control,Yes
88,Control,Yes
89,Control,Yes
90,Control,Yes
91,Control,Yes
92,Control,Yes
93,Control,Yes
94,Control,Yes
95,Control,Yes
96,Control,Yes
97,Control,Yes
98,Control,Yes
99,Control,Yes
100,Control,Yes
101,Control,Yes
102,Control,Yes
103,Control,Yes
104,Control,Yes
105,Control,Yes
106,Control,Yes
107,Control,Yes
108,Control,Yes
109,Control,Yes
110,Control,Yes
111,Control,Yes
112,Control,Yes
113,Control,Yes
114,Control,Yes
115,Control,Yes
116,Control,Yes
117,Control,Yes
118,Control,Yes
119,Control,Yes
120,Control,Yes
121,Control,Yes
122,Control,Yes
123,Control,Yes
124,Control,Yes
125,Control,Yes
126,Control,Yes
127,Control,Yes
128,Control,Yes
129,Control,Yes
130,Control,Yes
131,Control,Yes
132,Control,Yes
133,Control,Yes
134,Control,Yes
135,Control,Yes
136,Control,Yes
137,Control,Yes
138,Control,Yes
139,Control,Yes
140,Control,Yes
141,Control,Yes
142,Control,Yes
143,Control,Yes
144,Control,Yes
145,Control,Yes
146,Control,Yes
147,Control,Yes
148,Control,Yes
149,Control,Yes
150,Control,No
151,Control,No
152,Control,No
153,Control,No
154,Control,No
155,Control,No
156,Control,No
157,Control,No
158,Control,No
159,Control,No
160,Control,No
161,Control,No
162,Control,No
163,Control,No
164,Control,No
165,Control,No
166,Control,No
167,Control,No
168,Control,No
169,Control,No
170,Control,No
171,Control,No
172,Control,No
173,Control,No
174,Control,No
175,Control,No
176,Control,No
177,Control,No
178,Control,No
179,Control,No
180,Control,No
181,Control,No
182,Control,No
183,Control,No
184,Control,No
185,Control,No
186,Control,No
187,Control,No
188,Control,No
189,Control,No
190,Control,No
191,Control,No
192,Control,No
193,Control,No
194,Control,No
195,Control,No
196,Control,No
197,Control,No
198,Control,No
199,Control,No
200,Control,No
201,Control,No
202,Control,No
203,Control,No
204,Control,No
205,Incentive,Yes
206,Incentive,Yes
207,Incentive,Yes
208,Incentive,Yes
209,Incentive,Yes
210,Incentive,Yes
