name,state,region,inst_type,control,for_profit,adm_rate,undergrads,mdn_debt,mdn_earn
Abilene Christian University,TX,Southwest,Four-year undergraduate,Private,No,0.634,3480,24000,49294
AdventHealth University,FL,Southeast,Four-year undergraduate,Private,No,0.9087,1129,25034,58788
Andrews University,MI,Great Lakes,Four-year undergraduate,Private,No,0.4878,1381,26076,51909
Arizona Christian University,AZ,Southwest,Four-year undergraduate,Private,No,0.7147,883,21500,37531
Art Center College of Design,CA,Far West,Four-year undergraduate,Private,No,0.7609,1907,31218,66407
Augsburg University,MN,Plains,Four-year undergraduate,Private,No,0.7312,2487,25000,53472
Ave Maria University,FL,Southeast,Four-year undergraduate,Private,No,0.9179,1048,21500,45789
Baptist Health College Little Rock,AR,Southeast,Two-year undergraduate,Private,No,0.5,661,10000,54924
Bard College,NY,Mid East,Four-year undergraduate,Private,No,0.5695,1932,25910,43441
Bates College,ME,New England,Four-year undergraduate,Private,No,0.141,1876,13978,64706
Baylor University,TX,Southwest,Four-year undergraduate,Private,No,0.6847,14329,23550,60512
Beacon College,FL,Southeast,Four-year undergraduate,Private,No,0.4461,426,25718,22833
Belanger School of Nursing,NY,Mid East,Two-year undergraduate,Private,No,0.4,143,15250,67700
Belmont University,TN,Southeast,Four-year undergraduate,Private,No,0.8323,6618,20709,49950
Biola University,CA,Far West,Four-year undergraduate,Private,No,0.6438,3683,24273,47704
Bloomfield College,NJ,Mid East,Four-year undergraduate,Private,No,0.8465,1530,27000,44790
Bluffton University,OH,Great Lakes,Four-year undergraduate,Private,No,0.6051,675,27000,44911
Brandeis University,MA,New England,Four-year undergraduate,Private,No,0.334,3481,25797,70327
Cabrini University,PA,Mid East,Four-year undergraduate,Private,No,0.6167,1463,27000,53142
Cairn University-Langhorne,PA,Mid East,Four-year undergraduate,Private,No,0.8145,885,27000,41013
Carroll College,MT,Rocky Mountains,Four-year undergraduate,Private,No,0.7302,1093,25602,57154
Carson-Newman University,TN,Southeast,Four-year undergraduate,Private,No,0.7932,1635,22438,42546
