name,views,likes,comments
Aaron Murphy,1500000,173400,1400
Kevin Gates,3500000,413600,9400
Cale Brown,2700000,459500,1500
JustTheNobodys,1400000,175800,2200
Vanessa Lopes,5900000,637100,6400
𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,1600000,171300,2400
Lele Pons,2200000,307400,1900
icebox,3e+06,277200,3300
แจ็ก แปปโฮ,2800000,344100,766
Andrew Schulz,4e+06,602200,2200
Jack Harlow,8300000,837000,4900
vzelivx,2100000,271200,2600
veydi_rush,2900000,456800,2600
Monika Kociołek,1200000,196800,6600
バヤシ🥑Bayashi,7700000,958000,5800
INSTASAMKA,1800000,227900,2700
🇮🇩 BAGUS ISTRI 🇮🇩,2500000,154500,1600
Ghét môn Toán =))),2600000,367500,3300
PINAT🍅|| IG: @hesfinatia,8600000,936900,1800
HOSHIN,1100000,250800,4100
Olivia Dunne,2700000,316000,4900
dudamaryah,3e+06,340700,2000
Bạn Tấn chúa tể nỗi buồn,1600000,153100,2700
avani,1800000,237600,2100
Savanah Moss,4500000,703000,4100
Addison Rae,9300000,1200000,13400
Crispy Concords,2900000,4e+05,986
missmarymmouser,1900000,255500,2700
KeniaOs,2200000,371200,7500
Chris Bumstead,2e+06,389100,2600
Berk Keklik,5200000,394700,2100
cocinaconcoqui,1400000,278300,628
Lea Elui,2800000,375900,1100
Rebeca Barreto,2300000,297700,3000
Jumpers Jump Podcast,2100000,220100,1700
nourmar5,1300000,145900,13000
Alex warren,4600000,769000,1300
Heyimparis,5e+06,609500,3600
Modeli,1800000,404300,2700
Måneskin,1100000,214000,2900
Razi Monroe,6400000,586300,2800
Gerti & Megi,4e+06,162300,904
GB and ME,1600000,250100,4800
PumbaCaracal,2100000,130900,3300
LOURD,2400000,592100,5300
sinadeinert,967700,207500,4600
🕷,3300000,291200,5500
𝑀𝑖𝑠𝑡𝑒𝑟 𝑅𝑒𝑒𝑚𝑎 😾✨.,1800000,299800,3800
natalie & the aguilars,2800000,373600,702
arianagrande,1400000,333900,3900
