price,beds,baths,sqft,age
319000,4,3,2406,46
249000,2,2,1551,68
565000,4,4,2804,23
400000,5,3,3205,37
429900,4,4,2574,47
979900,4,4,4144,15
329900,4,2.5,2247,48
319000,4,3.5,2599,58
669900,4,5,4097,28
700000,4,3.5,4896,18
525000,5,4,3399,28
529900,5,3.5,3726,21
320000,4,3,2196,51
425000,4,3,2866,37
774900,4,5,4540,19
351500,4,3,2589,47
374900,4,3,2538,48
349900,3,2.5,2224,55
209900,3,2,1200,58
289000,3,2,1790,56
749500,6,6,5394,34
419000,4,3,2800,37
349900,4,3,2310,26
375000,4,2.5,2630,44
699000,4,3,3425,5
274900,3,2,1782,51
399900,4,2.5,2849,38
259900,3,1.5,1422,56
395000,4,2.5,3420,37
299900,4,2,2113,61
